Please note: You can only download a maximum of 500 vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lot No,Location,Event date,Event type,Simulcast vehicle?,Manufacturer,Model,Derivative,Reg Date,Reg No.,Engine,Body,Colour (Trim),Odometer,Odometer unit,Odometer warranted,Fuel,Trans,VAT,V5,Vehicle Grade,MOT Expiry,Number of Keepers,Services,Date of last Service (odometer),Vendor,Buy Now Price,CAP Clean,CAP Average,MMP,MMP Av.,MMP Av.,Glass Trade,Specification
570,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CIVIC,1.8 VTEC ES 5DR,24/12/2005,PJ55WMU,1.8L,5 Door HATCHBACK,GREY(Black),"65,735",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",2,03/08/2017,3,9,24/07/2015,Marshall Motor Group,-,"œ2,075","œ1,825",?,?,?,"œ2,275","6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Cruise Control, Dual Zone Climate, Panoramic Roof, Radio CD"
1065,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,330D M SPORT [245] 2DR AUTO,14/11/2009,RE59ZNY,3.0L,2 Door COUPE,BLACK(CREAM),"90,231",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,,1,,,Group 1,-,"œ8,625","œ8,100",?,?,?,"œ8,350","Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Cruise Control, Dual Zone Climate, Front Parking Sensors, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
,Bristol,28/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.6 TDI 105 BLUEMOTION SE 5DR,08/03/2010,VU10HFE,1.6L,5 Door HATCHBACK,RED(GREY),"93,391",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,04/02/2017,1,5,17/09/2015,Marshall Motor Group,"œ4,375","œ4,600","œ4,300",?,?,?,"œ3,925","Air Conditioning, Automatic Lights, Aux In, Cruise Control, DAB, Radio CD, Traction Control"
451,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CR-V,2.2 TDI SPORT 5DR,30/11/2005,YE55VHG,2.2L,5 Door ESTATE,SILVER(BLACK),"102,902",Miles,,Diesel,Manual,Margin,"Yes, with Manheim",3,21/01/2017,2,9,22/01/2016,Pentagon Group,-,"œ2,450","œ2,200",?,?,?,"œ2,300","Air Conditioning, Auto Climate Control, Aux In, Cruise Control, Panoramic Roof, Radio CD"
2508,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,2.4 SPORT [6] 2DR,23/10/2004,EA54OUL,2.4L,2 Door CABRIOLET,SILVER(BLACK),"129,997",Miles,,Petrol,Manual,Margin,"Yes, with Manheim",4,,7,,,Car Cash Point,-,"œ1,375","œ1,175",?,?,?,?,"6 Speed, Air Conditioning, Radio CD"
616,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E250 CDI BLUEEFFICIENCY SPORT,21/05/2010,DU10XCH,2.1L,4 Door SALOON,BLACK(BLACK),"52,483",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",5,,4,3,10/11/2015,Marshall Motor Group,-,"œ9,550","œ8,950",?,?,?,"œ9,975","6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Front Parking Sensors, Heated Seats, Radio CD, Sat Nav Inoperative, Traction Control"
585,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,PASSAT,1.6 TDI BLUEMOTION TECH S 5DR,22/08/2012,FW12LBP,1.6L,5 Door ESTATE,SILVER(BLACK),"77,550",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,26/07/2017,2,2,05/01/2015,Marshall Motor Group,-,"œ6,250","œ5,800",?,?,?,"œ5,725","6 Speed, Air Conditioning, Bluetooth, Radio CD, Traction Control"
568,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,X3,XDRIVE20D SE 5DR,09/03/2011,YK11EJE,2.0L,5 Door ESTATE,BLACK(BLACK),"69,679",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,13/04/2017,1,5,29/12/2015,Marshall Motor Group,-,"œ12,050","œ11,400",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Bluetooth, Cruise Control, Dual Zone Climate, Front Parking Sensors, Media Connectivity, Radio CD, Rear Parking Sensors, Traction Control, 6 Speed"
488,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,5 SERIES,520IES 4DR,18/07/2002,FA02FGF,2.2L,4 Door SALOON,SILVER(Black),"130,558",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",5,28/07/2017,3,13,30/07/2015,Marshall Motor Group,-,œ610,œ450,?,?,?,œ575,Air Conditioning
599,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,2.0 TDI 177 S LINE 4DR MTRONIC,23/03/2012,MV12DGF,2.0L,4 Door SALOON,GREY(Black),"61,003",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,23/03/2017,3,4,22/10/2016,Marshall Motor Group,-,"œ11,850","œ11,200",?,?,?,"œ11,475","Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Cruise Control, Front Parking Sensors, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
596,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,2.0TFSI QUATTRO S LINE SPECIAL,16/11/2006,SM56DNO,2.0L,4 Door SALOON,SILVER(BLACK),"79,910",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",3,18/11/2017,4,2,26/05/2016,Marshall Motor Group,-,"œ4,300","œ3,975",?,?,?,?,"6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Dual Zone Climate, Radio CD, Traction Control"
499,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,ACCORD,2.0I VTEC SE 5DR,14/06/2001,Y276MUB,2.0L,5 Door HATCHBACK,SILVER(Black),"106,628",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,20/06/2017,2,7,13/04/2011,Marshall Motor Group,-,œ210,œ70,?,?,?,?,"Air Conditioning, Auto Climate Control"
560,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,Q5,2.0 TDI QUATTRO SE 5DR,27/03/2009,FE09MLO,2.0L,5 Door ESTATE,GREY(Black),"176,483",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,19/02/2017,1,7,21/10/2016,Marshall Motor Group,-,"œ6,550","œ6,100",?,?,?,"œ5,475","6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Front Parking Sensors, Heated Seats, Leather Trim, Media Connectivity, Radio CD, Rear Parking Sensors, Sat Nav Inoperative, Traction Control"
608,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,2.0 TDI S LINE 5DR,09/09/2005,MF55VZC,2.0L,5 Door ESTATE,BLUE(Black),"79,246",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,29/01/2017,3,7,09/07/2016,Marshall Motor Group,-,"œ3,400","œ3,125",?,?,?,?,"Auto Climate Control, Radio CD"
622,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,318D M SPORT 5DR STEP AUTO,31/07/2009,YB09MJX,2.0L,5 Door ESTATE,SILVER(BLACK),"65,836",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,22/01/2017,6,6,07/01/2016,Marshall Motor Group,-,"œ7,475","œ7,000",?,?,?,"œ7,075","Air Conditioning, Auto Climate Control, Cruise Control, Dual Zone Climate, Privacy Glass, Radio CD, Rear Parking Sensors, Traction Control"
889,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,SPRINTER 313CDI LONG DIESEL,3.5T DROPSIDE,24/04/2013,KN13WEO,2.1L,2 Door DROPSIDE BODY,WHITE(BLACK),"155,661",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,23/04/2017,1,5,02/12/2015,Vanmonster,-,"œ8,350","œ7,750",?,?,?,?,"Airbag - Driver, Air Conditioning, Cruise Control, Electric Windows, Seats - Fabric/All, Traction Control"
481,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C180K SE 3DR,07/05/2004,AJ04WRL,1.8L,3 Door COUPE,BLUE(GREY),"77,843",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",5,04/05/2017,5,6,08/11/2011,Money 4 Your Motors LTD,-,"œ1,750","œ1,550",?,?,?,?,"6 Speed, Air Conditioning, Automatic Lights, Leather Trim, Radio CD"
479,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,2.0T GTI 5DR DSG,16/01/2007,SM56ZJJ,2.0L,5 Door HATCHBACK,GREY(BLACK),"94,654",Miles,w,Petrol,Semi-automatic,Margin,"Yes, with Manheim",Unclassified,25/06/2017,3,,,The Car Group,-,"œ3,775","œ3,450",?,?,?,?,"Air Conditioning, Auto Climate Control, Dual Zone Climate, Heated Seats, Leather Trim, Radio CD, Traction Control"
1117,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CIVIC,1.8 VTEC SPORT 5DR,03/07/2006,OE06YRM,1.8L,5 Door HATCHBACK,GREY(BLACK),"55,670",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",3,03/07/2017,5,7,31/07/2016,Sandown Mercedes-Benz,-,"œ2,250","œ2,025",?,?,?,"œ2,450","6 Speed, Air Conditioning, Auto Climate Control, Cruise Control, DAB, Leather Trim, Privacy Glass, Radio CD"
642,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,323I SE 5DR,01/05/1999,T576XUY,2.5L,5 Door ESTATE,SILVER(BLACK),"144,961",Miles,,Petrol,Manual,Margin,"Yes, with Manheim",1,06/05/2017,2,13,21/10/2014,Hills Ford,-,œ240,œ90,?,?,?,œ250,"Air Conditioning, Auto Climate Control, Dual Zone Climate, Leather Trim, Radio CD"
2050,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.9 MATCH TDI 5DR,30/01/2007,RA56RLO,1.9L,5 Door HATCHBACK,GREY(Black),"113,805",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",5,31/01/2017,3,9,05/01/2016,Money 4 Your Motors LTD,-,"œ2,150","œ1,900",?,?,?,"œ1,900","Air Conditioning, Cruise Control, Radio CD, Traction Control"
437,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,X5,SPORT 5DR,29/03/2006,YG06ZBN,3.0L,5 Door ESTATE,BLACK(BLACK),"101,861",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",5,20/09/2017,4,5,18/10/2016,Dealer Direct,-,"œ5,325","œ4,925",?,?,?,?,"6 Speed, Air Conditioning, Cruise Control, Front Parking Sensors, Privacy Glass, Radio CD, Rear Parking Sensors"
509,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,SUZUKI,GRAND VITARA,2.0 16V 5DR,23/11/2006,K444DCW,2.0L,5 Door ESTATE,BLUE(BLACK),"66,567",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",5,24/03/2017,7,9,22/12/2014,Marshall Motor Group,-,"œ2,550","œ2,300",?,?,?,"œ2,875","Rear Parking Sensors, Traction Control, Radio CD, Media Connectivity, Aux In, Bluetooth, Auto Climate Control, Air Conditioning"
406,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,5 SERIES,520D SE 5DR STEP AUTO,01/09/2007,WJ57SZF,2.0L,5 Door ESTATE,GREY,"114,603",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",,27/03/2017,3,7,25/08/2015,,-,"œ4,100","œ3,775",?,?,?,?,
516,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CR-V,2.0 VTEC SE SPORT [SAT NAV] 5D,04/03/2003,RO03XAS,2.0L,5 Door ESTATE,BLUE(BLACK),"77,549",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,04/03/2017,2,4,13/02/2015,Marshall Motor Group,-,"œ1,375","œ1,175",?,?,?,"œ1,500","Air Conditioning, Auto Climate Control, Electric Sun Roof, Radio CD"
615,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CIVIC,1.8 VTEC EX 5DR,11/01/2006,YY55NTT,1.8L,5 Door HATCHBACK,GREY(BLACK),"49,440",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,30/06/2017,2,2,17/06/2009,Marshall Motor Group,-,"œ2,425","œ2,175",?,?,?,"œ3,100","6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Radio CD, Traction Control"
542,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,LAND ROVER,RANGE ROVER SPORT,2.7 TDV6 SE 5DR AUTO,01/09/2005,YR55DVP,2.7L,5 Door ESTATE,BLUE(Black),"91,456",Miles,w,Diesel,Automatic,Margin,"Yes, with Manheim",5,25/01/2017,6,6,01/08/2014,Marshall Motor Group,-,"œ8,375","œ7,850",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Cruise Control, Dual Zone Climate, Electric Sun Roof, Heated Front Screen, Heated Seats, Privacy Glass, Radio CD, Rear Parking Sensors, Traction Control"
378,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CR-V,2.0 VTEC EX 5DR AUTO,19/10/2007,YC57BXU,2.0L,5 Door ESTATE,BLACK(BEIGE),"147,780",Miles,w,Petrol,Automatic,Margin,"Yes, with Manheim",5,19/10/2017,1,10,31/10/2016,Mill Group Direct,-,"œ3,750","œ3,425",?,?,?,?,"Air Conditioning, Auto Climate Control, Cruise Control, Dual Zone Climate, Front Parking Sensors, Heated Seats, Leather Trim, Privacy Glass, Radio CD, Rear Parking Sensors, Traction Control"
1142,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E350 CDI BLUEEFFICIENCY [265],20/10/2010,RV60VSG,3.0L,4 Door SALOON,SILVER,"57,538",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",2,06/11/2017,3,5,05/11/2016,Sandown Mercedes-Benz,-,"œ11,500","œ10,850",?,?,?,"œ11,650","Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Dual Zone Climate, Front Parking Sensors, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
1121,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C180K SE 4DR AUTO,30/01/2008,KS57WCP,1.8L,4 Door SALOON,BLACK(GREY),"88,956",Miles,w,Petrol,Automatic,Margin,"Yes, with Manheim",4,20/07/2017,4,7,29/09/2014,Sandown Mercedes-Benz,-,"œ5,000","œ4,650",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Bluetooth, Cruise Control, Dual Zone Climate, Heated Front Screen, Radio CD, Traction Control"
,Colchester,30/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,MERCEDES-BENZ,SPRINTER 313CDI MEDIUM DIESEL,3.5T LUTON,01/09/2013,KU63DHE,2.1L,2 Door LUTON BOX BODY,WHITE(BLACK),"77,822",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,09/06/2017,1,3,25/02/2016,Vanmonster,"œ10,500","œ11,800","œ10,900",?,?,?,?,"Airbag - Driver, Electric Windows"
,Colchester,30/11/2016,"Buy Now,Physical Auction,Simulcast",Yes,MERCEDES-BENZ,SPRINTER 313CDI LONG DIESEL,3.5T HIGH ROOF VAN,01/11/2013,KP63HYK,2.1L,PANEL VAN,WHITE(BLACK),"123,874",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,05/09/2017,1,3,25/04/2016,Vanmonster,"œ8,500","œ9,050","œ8,375",?,?,?,?,"Airbag - Driver, Bluetooth, Cruise Control, Electric Windows, Ply Lining, Radio CD, Door - Nearside Sliding Loading Door, Traction Control"
642,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,PASSAT,2.0 SE TDI 4DR DSG,01/09/2007,PE57XSW,2.0L,4 Door SALOON,SILVER(BLACK),"206,252",Miles,,Diesel,Semi-automatic,Margin,"Yes, with Manheim",4,04/07/2017,5,17,05/10/2016,,-,"œ1,050",œ850,?,?,?,?,"Air Conditioning, Cruise Control, Radio CD, Rear Parking Sensors, Traction Control"
1108,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,LAND ROVER,RANGE ROVER SPORT,3.0 TDV6 HSE 5DR COMMANDSHIFT,18/12/2009,MX59WCJ,3.0L,5 Door ESTATE,GREY(CREAM),"77,668",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",1,,2,6,24/11/2015,Sandown Mercedes-Benz,-,"œ16,400","œ15,600",?,?,?,"œ16,775","Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Cruise Control, Dual Zone Climate, Heated Front Screen, Heated Seats, Privacy Glass, Park Assist, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
600,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,318I SE 4DR AUTO,30/03/2006,FG06CVA,2.0L,4 Door SALOON,BLACK(Grey),"96,445",Miles,w,Petrol,Automatic,Margin,"Yes, with Manheim",3,29/04/2017,2,10,09/07/2014,Marshall Motor Group,-,"œ2,650","œ2,400",?,?,?,"œ2,400","Air Conditioning, Auto Climate Control, Cruise Control, Radio CD"
505,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,X3,2.0D M SPORT 5DR,21/12/2006,OE56TVO,2.0L,5 Door ESTATE,BLACK(Black),"88,705",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,22/02/2017,4,4,05/08/2014,Marshall Motor Group,-,"œ4,875","œ4,500",?,?,?,"œ5,325","6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Front Parking Sensors, Heated Seats, Radio CD, Rear Parking Sensors, Traction Control"
415,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,325I M SPORT 4DR,01/03/2011,NL11HCX,3.0L,4 Door SALOON,BLACK(CREAM),"57,557",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,25/03/2017,3,1,23/01/2013,Arnold Clark,-,"œ7,675","œ7,175",?,?,?,?,"6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Bluetooth, Cruise Control, Dual Zone Climate, Leather Trim, Radio CD, Traction Control"
1172,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,X3,2.0D SE 5DR,08/03/2005,BF05UZG,2.0L,5 Door ESTATE,GREY(GREY),"119,204",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,29/11/2016,4,,,Best Car Buyer,-,"œ2,950","œ2,675",?,?,?,?,"6 Speed, Air Conditioning, Front Parking Sensors, Leather Trim, Privacy Glass, Radio CD, Rear Parking Sensors"
1170,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CR-V,2.0 VTEC SPORT 5DR,01/03/2005,PE05MEV,2.0L,5 Door ESTATE,BLUE(Grey),"125,588",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",Unclassified,14/04/2017,2,,,Best Car Buyer,-,"œ1,850","œ1,625",?,?,?,?,"Air Conditioning, Radio CD"
1168,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,2.7 TDI SE 4DR MTRONIC,27/11/2009,SD59UTY,2.7L,4 Door SALOON,GREY(BLACK),"98,662",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",5,25/02/2017,2,,,Best Car Buyer,-,"œ5,700","œ5,300",?,?,?,?,"Air Conditioning, Automatic Lights, Cruise Control, Dual Zone Climate, Radio CD, Sat Nav Functioning"
872,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,SPRINTER 313CDI LONG DIESEL,3.5T LUTON,11/09/2012,KU62FAJ,2.1L,2 Door LUTON BOX BODY,WHITE(BLACK),"116,604",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,21/07/2017,1,5,07/09/2016,Vanmonster,-,"œ8,275","œ7,525",?,?,?,?,"Airbag - Driver, Air Conditioning, Door - Rear Roller, Electric Windows, Lift - Column Tail, Seats - Fabric/All, Traction Control"
881,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,SPRINTER 313CDI MEDIUM DIESEL,3.5T HIGH ROOF VAN,10/09/2013,KU63WXG,2.1L,5 Door PANEL VAN,WHITE(BLACK),"81,422",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,12/09/2017,1,5,11/08/2016,Vanmonster,-,"œ8,725","œ8,075",?,?,?,?,"Airbag - Driver, Door - Double Rear Barn, Electric Windows, Ply Lining, Radio CD, Seats - Fabric/All, Door - Nearside Sliding Loading Door, Traction Control"
878,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,SPRINTER 313CDI MEDIUM DIESEL,3.5T HIGH ROOF VAN,17/08/2013,KT13XEU,2.1L,5 Door PANEL VAN,WHITE(GREY),"77,185",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,16/08/2017,1,4,06/08/2016,Vanmonster,-,"œ8,850","œ8,200",?,?,?,?,"Airbag - Driver, Cruise Control, Electric Windows, Ply Lining, Radio CD, Seats - Fabric/All, Door - Nearside Sliding Loading Door, Traction Control"
604,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CIVIC,1.8 VTEC TYPE S GT 3DR,01/03/2007,YD07KKO,1.8L,3 Door HATCHBACK,RED(BLACK),"78,304",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",2,15/03/2017,2,9,16/03/2016,Marshall Motor Group,-,"œ2,800","œ2,550",?,?,?,"œ2,375","Cruise Control, Dual Zone Climate, Automatic Wipers, Air Conditioning, Auto Climate Control, Automatic Lights, Panoramic Roof, Radio CD, 6 Speed"
522,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,2.0 TDI GTD 5DR DSG,16/12/2013,ST63EYV,2.0L,5 Door HATCHBACK,RED(Black),"47,132",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",3,,3,4,03/08/2016,Marshall Motor Group,-,"œ13,700","œ13,050",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Bluetooth, Cruise Control, Dual Zone Climate, Front Parking Sensors, Ipod Connectivity, Privacy Glass, Radio CD, Rear Parking Sensors, Traction Control"
2017,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,320I M SPORT BUSINESS EDITION,18/11/2009,FP59DZU,2.0L,4 Door SALOON,SILVER(BLACK),"69,854",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",1,23/06/2017,2,5,21/09/2013,Money 4 Your Motors LTD,-,"œ6,825","œ6,375",?,?,?,"œ5,625","6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Cruise Control, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors"
2022,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,LAND ROVER,DISCOVERY,2.7 TD V6 HSE 5DR AUTO,15/01/2005,RA54DVR,2.7L,5 Door STATION WA,GREY(CREAM),"131,290",Miles,w,Diesel,Automatic,Margin,"Yes, with Manheim",1,23/06/2017,4,,,Money 4 Your Motors LTD,-,"œ5,825","œ5,425",?,?,?,"œ5,725","Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Cruise Control, Front Parking Sensors, Heated Front Screen, Heated Seats, Leather Trim, Panoramic Roof, Radio CD, Rear Parking Sensors, Sat Nav Functioning"
2009,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,2.0 TDI 170 S LINE 5DR,27/05/2008,YB08LVN,2.0L,5 Door ESTATE,SILVER(MULTI-COLOURED),"89,838",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,,4,1,23/12/2009,Money 4 Your Motors LTD,-,"œ4,500","œ4,175",?,?,?,"œ5,100","6 Speed, Air Conditioning, Automatic Lights, DAB, Radio CD"
2042,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E250 CDI BLUEEFFICIENCY SPORT,12/07/2010,EU10ORY,2.1L,2 Door COUPE,BLACK(BLACK),"86,258",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",1,10/02/2017,4,,,Money 4 Your Motors LTD,-,"œ10,550","œ9,925",?,?,?,"œ9,675",
1112,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,316D SPORT 4DR,10/05/2012,PK12VXV,2.0L,4 Door SALOON,WHITE(GREY),"61,385",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,10/05/2017,2,,,,-,"œ9,250","œ8,700",?,?,?,"œ9,325","Air Conditioning, Cruise Control, Radio CD, Rear Parking Sensors"
498,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A6,2.0 TDI TDV SE 5DR,21/09/2006,FM56UVP,2.0L,5 Door ESTATE,BLACK(GREY),"125,754",Miles,,Diesel,Manual,Margin,"Yes, with Manheim",Unclassified,27/01/2017,4,6,20/07/2012,Jennings Group Direct,-,"œ2,850","œ2,600",?,?,?,?,"Air Conditioning, Cruise Control, 6 Speed, Dual Zone Climate, Heated Seats, Radio CD, Sat Nav Inoperative"
531,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,LAND ROVER,RANGE ROVER,3.0 TD6 VOGUE 4DR AUTO,03/12/2004,YX54KSZ,2.9L,4 Door ESTATE,SILVER(BLUE),"95,328",Miles,w,Diesel,Automatic,Margin,"Yes, with Manheim",4,19/11/2017,4,5,09/01/2016,Marshall Motor Group,-,"œ6,475","œ6,025",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Cruise Control, Heated Front Screen, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
1314,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CR-V,2.0 VTEC SPORT 5DR,29/11/2005,MW55OWJ,2.0L,5 Door ESTATE,BLACK(Black),"64,444",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",3,20/06/2017,4,6,22/05/2015,Money 4 Your Motors LTD,-,"œ3,075","œ2,825",?,?,?,"œ2,500","Air Conditioning, Auto Climate Control, Automatic Wipers, Cruise Control, Radio CD"
512,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,320I SE 2DR STEP AUTO,08/08/2007,YL07XUE,2.0L,2 Door CONVERTIBL,GREY(Black),"60,394",Miles,w,Petrol,Semi-automatic,Margin,"Yes, with Manheim",4,14/06/2017,6,7,01/07/2016,Marshall Motor Group,-,"œ6,175","œ5,775",?,?,?,"œ6,225","Air Conditioning, Auto Climate Control, Aux In, Cruise Control, Dual Zone Climate, Heated Seats, Leather Trim, Privacy Glass, Radio CD, Rear Parking Sensors"
